userPrincipalName,groupName
amaderer@shclabtenant.onmicrosoft.com,Ars-Azure1232 
autotest1234320@shclabtenant.onmicrosoft.com,Ars-Azure15     
autotest114522435@shclabtenant.onmicrosoft.com,Ars-Azure12343223
autotest12@shclabtenant.onmicrosoft.com,Ars-Azure16     
autotest13@shclabtenant.onmicrosoft.com,Ars-Azure16     
autotest14@shclabtenant.onmicrosoft.com,Ars-Azure16     
autotest15@shclabtenant.onmicrosoft.com,Ars-Azure16     
autotest16@shclabtenant.onmicrosoft.com,Ars-Azure16     
autotest17@shclabtenant.onmicrosoft.com,Ars-Azure16     
autotest18@shclabtenant.onmicrosoft.com,Ars-Azure16     
